date,source,title,text,url
2026-04-24,Google News,"Air Force, Navy plan to boost purchases of Lockheed F-35 jets over five years (LMT:NYSE) - Seeking Alpha","Air Force, Navy plan to boost purchases of Lockheed F-35 jets over five years (LMT:NYSE)  Seeking Alpha",https://news.google.com/rss/articles/CBMitAFBVV95cUxPdEN5bEFBSHRjLWdMWkJPSU1lVHY3SkdNaEUwSUZtdE9qVEp2QW1vRlhJZEUtcXhDeXZadjI0YnZiRU0tUzcySkNZN18ta1RQZWdkZ0FKMzhfV1UyMEtORFl6QnRwdmxtUlIxNFdkZDU0ek42SVVKNEtGbUIybmI2YzFTVFoxSm84WWxLaElUTURXOVBndnRoVk9tNDl4N2hjOUQxYWk2MEhKYWdaRWRCQUpqWnE?oc=5
2026-04-29,Google News,US Awards Lockheed Martin $177M Contract for Three Most Advanced Fighter Jets in the World - Aviation A2Z,US Awards Lockheed Martin $177M Contract for Three Most Advanced Fighter Jets in the World  Aviation A2Z,https://news.google.com/rss/articles/CBMimgFBVV95cUxNbXJyUFFIZS1pbExwdnhrc0VZSHJVaDRlNUwzQ0ZyUkFmcDhlM3VHakdTMThvWWpCUVlSYUtVSXQ3UVRLT3N6Z21YNHdYY1RMMkdvS0JPRHhIWXFVV25OSUJwN1hGWTRaSnRvR1h3Q1g0UFB1M0hlQlZiWHBmMl9IaHBIQjUzdVlJVHJKaGU5MVUyblNIRmlXTHln?oc=5
2026-04-29,Google News,In Brief: UK F-35 Review Sets Timeline For Spear 3 Integration - Aviation Week,In Brief: UK F-35 Review Sets Timeline For Spear 3 Integration  Aviation Week,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPQWdxVkdaWVp0Y003ZDNCWmNUX04ydV9uWEJ1c2xRc2x6bkJBSHRJb1VYNFNNal9HRjJvbmV6V0toaEptdWgxQ2Z2Y094WlZMQ2Utam9GanpLQkVERm5LTGJIaEp0WHp0blpfS19PZERJZDJZWVFvT1M5Y1l4TkZSUDAtSUZIZTZkRVdCM0Z3azltc2hjUnRQMUs0LVBwNjYzbzNRUFp0Y3c?oc=5
2026-04-02,Google News,Pentagon Awards $6.6 Billion Contract for Next Two Lots of F-35 Engines - Air & Space Forces Magazine,Pentagon Awards $6.6 Billion Contract for Next Two Lots of F-35 Engines  Air & Space Forces Magazine,https://news.google.com/rss/articles/CBMigAFBVV95cUxORnJZUmIwNzRLdVpNd3pLX0xaNV96Z1Nzd2tVcWtOTHlMaUtueXF4LTJmbVhTdGJrRGpBM0d4SkJBaDJGWEdYTUpPX1BoMFp4c1E0RE1ONjlULWJpMHN5SVUxWDFsNGwzb2dSWGVuSjFFMmlZQ0lqaU00dDV2SnFSbg?oc=5
2026-04-30,AP,'No Escape Zone': F-35 Stealth Fighter Is Testing 'Ramjet' Meteor Missile That Can Hit Mach 4 - National Security Journal,'No Escape Zone': F-35 Stealth Fighter Is Testing 'Ramjet' Meteor Missile That Can Hit Mach 4  National Security Journal,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOaFE4b21SejZMNFhEbDgyaURVNWxJemtabk9XdU1XNDZzV2FEM28yZjdtTkpCcVgycnV1TDFrdkNWMXo2QWhjU21hc3pNWklvMlZaUDg1WGVhTVVHV21XbEh5S2ZUalY1OUtUbE1XWGg0c01yWVhMNTNIU0pLSW5QemhvalJueUFtM3BJaVBBeU43T2x1bmt5MUQ5ZjUtbnBIMEdrM2FwSkVlSEVscWFqMU90cFI1a2xueERnV1luUTMxdk0?oc=5
2026-04-30,AP,Japan Now Has Aircraft Carriers That Can Send F-35 Fighters Into Combat Against China - 19FortyFive,Japan Now Has Aircraft Carriers That Can Send F-35 Fighters Into Combat Against China  19FortyFive,https://news.google.com/rss/articles/CBMivwFBVV95cUxOcnNMNTBDVFI5cDE3bmFoY0ZhVVp4WENvd2dTeDZPbjVSOE9lU2NjSS1qZ3Z0VEowRG5oR09QNmRiX0w2Y3VFSlk0QWJWZXlQRUpLZ2hPd01MMDRtUnp3NUhhc0wtZlExVkFldkdHSmFzMkkxb3VXOUxJal9lTHN4VEJDUFJZWXZEalZPWXlnRVhZNlR6NHFsamtqV2Q1T29CcU85eWE5TjY5WFI0a0ZFWEdESWZYLWd0UTFPd1Q4Zw?oc=5
2026-04-30,Google News,‘Mighty One’: Israel’s F-35I Adir Stealth Fighter Has a Message for the U.S. Air Force - National Security Journal,‘Mighty One’: Israel’s F-35I Adir Stealth Fighter Has a Message for the U.S. Air Force  National Security Journal,https://news.google.com/rss/articles/CBMiugFBVV95cUxQdkdKZ2d3TjNsNjBKVkU4UnVCZDRqYWtPODdJNF9ZbVhKLVgwUHVBQk9SNWh4M1RxX01RZmdFU1lDVGJZVmNKQjIxOGEtQk1zYmlzdXdkT1AxcTgyZkp5MEtlU2tXS2p1TTRyUzdBQnF1b293N01wMm9WZ3Y4ZklFV1VpaHFIYmRBWC1POEg5bThwVmxDQi1BcGYwakpSTGlYTVBEbnpBT0lnOXg4eWFTT1o2RUpUSHhxMkE?oc=5
2026-04-30,Google News,The World's Most Produced Military Jet Doesn't Have The Most Advanced Radar - Simple Flying,The World's Most Produced Military Jet Doesn't Have The Most Advanced Radar  Simple Flying,https://news.google.com/rss/articles/CBMilgFBVV95cUxQWHFMY2FXSmxRZm1nc0tBZlJHZWNWMExpUWNWcG0zV29uRTRYZ2JOQmVDWXVsMWQ3Ymk1UndPdEFDeUZIc1BMU2o3amgyY1VNY3lhRXljVE9zOVlVbXpnYzVPTjVJd2hhUzREcG9NRThJZGZ5WEZzM2w1Nlowbm9NMEJmR3ZYMmtma1FaMmEtVHBlczEwcVE?oc=5
2026-04-23,Google News,Is It True That The F-35's Maintenance Cost Is 45% Higher Than The F-16's? - Simple Flying,Is It True That The F-35's Maintenance Cost Is 45% Higher Than The F-16's?  Simple Flying,https://news.google.com/rss/articles/CBMickFVX3lxTE0zNEh1MjgwNGJ6d3otUkdxUzQzTHpVVmRLX3hIU1ktX3lWZ0FCZlNjUHVjR05nNDFRVWRaTkptcGhjMkFQbzdyS0tsOEhodW1CRi1DNUFVVDN4bkVzM0NlYXpuOGpLX0dRcjlXcGlSQ1JUUQ?oc=5
2026-04-30,Google News,"Sorry, F-35: Canada Has a Message for the F/A-18 Super Hornet Fighter - National Security Journal","Sorry, F-35: Canada Has a Message for the F/A-18 Super Hornet Fighter  National Security Journal",https://news.google.com/rss/articles/CBMipwFBVV95cUxQRkt6Rk5LMHJXZmxSSkFzMEYyX2JrZTdMRUFmMHBaUEJzaU9aRzMtU3ZPS0tPZ0Z1RFRhc3NZT0EwVHJPeHJZdFpjUXBTZ1pVVTU5VHMzal9NNl9NVWxRdjBLUjRyWWRjQXJMVHdBTks0djhxMWFpVzNDQ3ZmcjFKRzZoZWlBb3paeFR2SW9NY01xU25vb0wwc29lZzRTUGM4bHYtVHVMWQ?oc=5
2026-03-20,Google News,Military Prepares to Accept F-35s Without Radars - Air & Space Forces Magazine,Military Prepares to Accept F-35s Without Radars  Air & Space Forces Magazine,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPY3dyNjRNSHlwdE4xaFc0eUNIakxsTXZTNWczenlkNVFPbjl0bEJJa015WGJVVXBraGZ6N0NBbmdzX0hNaUp2Vk43OW9teFN6REtZWUVwci1Ca2VUUkpaLUdUdEVMdWJhQVJNWWZIOWpLMndWMTZWcGlBcjhBYS00MEpSamJGallYNTUzWGpjRndGZmlHb2hsV3U2OVJlOGhKdEZuVXR4RXhjZTZPd0h3ZDNVeHp3eDhsd3NKY29Cem9qZXJQbGx1SQ?oc=5
2026-01-26,Google News,Navy Is Flying Air Force F-35A Joint Strike Fighters - The War Zone,Navy Is Flying Air Force F-35A Joint Strike Fighters  The War Zone,https://news.google.com/rss/articles/CBMijwFBVV95cUxNVk1NRnVWbmVkbWRib0c5RWtnTWFucFl5WFdLN1l6M0VhMmdMVkczNnRuZE5qVXBESDJGcmJuUlJJeFNLenBsTmppZWhtR2VweUdnU1dxQmJGVU8zemI5MEV2eTVkZ0NweGpoczJUR0I2VjR3QU9LWTlhU0RBT1Y1MGkyaUxpQ01KN09oS0pqSQ?oc=5
2025-12-30,Google News,Lockheed still paid $1.7 billion despite poor readiness rate of F-35s - Military Times,Lockheed still paid $1.7 billion despite poor readiness rate of F-35s  Military Times,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOWkozZU8wVDIyczIxbnIxZUJIVjBjeTViTHpqVVphNmp6eHpiNzJSbjFOQ0htUmJDQXgyeGdFZEtVWVE3UzJQTVNqZU5pQTExZHpSVXE3cEJ2c09sZVZ5ZlZNX2RBdU80NGRhNFhZNkVWZUlvYU8wNUFMYTZ4azFnNFEwaV9INUNzNXhzNEZ2RHNGTmtURFVWTENJY19USkhVYjNwSlRtZG5EbVZWODFuZ1drM21CV0xuTkxWUXpsbUgxQmM?oc=5
2026-03-23,Google News,US Military Accepts Incomplete New F-35 Fighter Jets - Aviation A2Z,US Military Accepts Incomplete New F-35 Fighter Jets  Aviation A2Z,https://news.google.com/rss/articles/CBMimgFBVV95cUxQY0tWUXhXaW83aU1vaVFiaUEwWXU1Wi14NVpyUk9qNmpaWXZGNlFWdnk5X0xFZGZ1M3l0em1vMnJzYTV5enctZFYwQ1MzY1BqdDd2RTFhcUNuS1V2TFpHdkpFQmktV2RsZ0UwOG5IODRwUVhiaFhQZ0dBaXZ1ZFlkMWpNTmI4WHY0UjdyaWVEYWViOWxuX0ZVMWp3?oc=5
2026-04-28,Google News,Why The Eurofighter Typhoon Costs More Per Flight Hour Than The F-35A - Simple Flying,Why The Eurofighter Typhoon Costs More Per Flight Hour Than The F-35A  Simple Flying,https://news.google.com/rss/articles/CBMihAFBVV95cUxNRDdiSkplcmtPSnFiQzRnUDFBUlZxTVZFc1JmVy1XMFZnWHE1cnFuMWFwRUQ0cGE5QzBpNTZBZkdVVFJHbDBUYXl3amxDZG1obE52Q0dURS04UGxwVWUyNUxDaEZhU2ZYa1NKSktXaWFwRU1QTDU1aE9kVE5UVG9jYnNqVlo?oc=5
2026-04-30,Google News,48 Brand New F-35A Stealth Fighters Will Soon Be Based in China’s Backyard - National Security Journal,48 Brand New F-35A Stealth Fighters Will Soon Be Based in China’s Backyard  National Security Journal,https://news.google.com/rss/articles/CBMirwFBVV95cUxPQi1DWFJnMnRNcTEtNkdfUC01MXRFRWV3emlRREtUNmZybXZEV2NNcTFtcmdVWjRtMWtUWTdKbjNqNThteS1qLWZxZTgtNFRyM0xlRXRNOWhzLS1tZ0VTTlZjNDRocEJLanF6TF84SWxsajFGQjcwa05uU3RLUE90UU1TTVZzQzhnZWZZTkNISnFmRlVtZWtXX2kwWEdtNTcwNks3Q1lHRW01YUYyTDZV?oc=5
2026-01-23,Google News,"Northrop Grumman Just Made Its 1,500th F-35 Fuselage. You Read That Right. - The National Interest","Northrop Grumman Just Made Its 1,500th F-35 Fuselage. You Read That Right.  The National Interest",https://news.google.com/rss/articles/CBMitwFBVV95cUxPMHBXcnd2SWtGb0hENkJvQ0taVmVQVlRQRXBWMUlTNTEyMVh4aEJrM0xKSVh4YjhvcThsQm81UG12VXBEVWlOdTZJdlRUSHZSU3JkdVhZQXRzT2FUVTNReXpYYi1DTVluME5IZ1l2MWJfaFhhOW9pR2wzRVR3TWdUMVJUejZRMVVDNnNBTHY3bzF4U1hncEs2cUc5Nkw3VjROdFpub1lFSFJKMlFfM21GTWRYSnRlTDg?oc=5
2026-04-23,Google News,The US Air Force Just Doubled Its F-15EX Eagle II Order - The National Interest,The US Air Force Just Doubled Its F-15EX Eagle II Order  The National Interest,https://news.google.com/rss/articles/CBMinAFBVV95cUxOam9oUVB4X0JmOUN0eUpRUTh3LVdnSzZrTmVDbndPeGlIOW9idVpYQmJMaW54T1JnenZnZzNkSzUwM3BJbko1WXMxdHhzWkVGMmc1MkdfSm44V1UxYmJxRnZLdjQwWkVjQ2VnTGlzMDhHeGUxS0tYbGNpTlhKUmlyQlM5ajI5N1RXR2t6R1JwQ0xPcVNqWXJSMzZQd1U?oc=5
2026-04-26,Google News,Here's Why The Marines Corps Is Scattering F-35Bs Across Tiny Pacific Islands In 2026 - Simple Flying,Here's Why The Marines Corps Is Scattering F-35Bs Across Tiny Pacific Islands In 2026  Simple Flying,https://news.google.com/rss/articles/CBMimAFBVV95cUxNMGxXQkdzVXA4THYwY1NENkFialltRUlFemlSOFQyalViZnU3SEhLUUduVTRra0NTVDUtQ19XS3FRNTl1X2o5WE5Udy1fTGg5amswUi0zU3EyYnFMUl83VGdYcEJKWGhUY3Y0SmhzQkFKOVp6blBJSExHamtlSHU4UFpIeVF1RTdDM1lJcDl2ZU15SHBlZ2YyUA?oc=5
2026-04-22,Google News,"The Israeli F-35I Adir Has Flown 1,500 Sorties Over Iran Without Being Detected. The United States F-35A Needs the Same Fuel Tanks - 19FortyFive","The Israeli F-35I Adir Has Flown 1,500 Sorties Over Iran Without Being Detected. The United States F-35A Needs the Same Fuel Tanks  19FortyFive",https://news.google.com/rss/articles/CBMi-AFBVV95cUxONUJSa3lVbUJMSXA3T1E2ckticDJFRTFjOUxWQXV3R1gyRUZjSGtRQXVkYVQ4TWFXcXFhNk1Obm5JOElFejZhMFBtSmwtdkIyYmNqYkt0aGs5U0JibVdzalhqdmNTbWR0MmlIOE9NVnc5WFB4QTE3MGpDelVIWXR0c2lqTHkwODk1TGQzR0o0NU9rSHVON00yQk5HdDg2RjQwZjRTRElfU0V4b21OZlRqZWxaWFlpY001eDRpV252a05Pb2VwMXBzeDhyZnJmeW01NG5ZNzdYaDQtd2l5d0tHam80cW5XcVY4RXlBZW5GYU1iQTRndUZfQQ?oc=5
2026-03-20,ABC,Did Iran Hit a U.S. F-35? - 77 WABC,Did Iran Hit a U.S. F-35?  77 WABC,https://news.google.com/rss/articles/CBMiaEFVX3lxTFBYZi1sdVFpV3ptVVBlTXFfU0VsT1pTcWZwZW5VRkhhc0ZaTHBJcm1XQkQwdTgyR3BQdnRBSFZPd0Q2SlZwdWYzWTlfSXJQNnAwR2dqRGlnVV9MeXZXeU5EbGx4MmQzdFM1?oc=5
2026-03-19,Google News,KONGSBERG secures NOK 2 billion (about 170 Million €) order for deliveries to F-35 Joint Strike Fighters - AeroMorning.com,KONGSBERG secures NOK 2 billion (about 170 Million €) order for deliveries to F-35 Joint Strike Fighters  AeroMorning.com,https://news.google.com/rss/articles/CBMiygFBVV95cUxNOUNKQjEzYzJVdVVPNjJXN3MtNlBPUG9OT1htQjZBSHB1QnFuWXRMWG9Jd2dNc2RCMGhXcnE1d0hyVVh2UDBNWEZlRHJJb2pMd1hrY2dGN0JPUXZjbHd5SkdEQWlxY3IxdFp6cHcxaUtPY2FOUWJMT0VEMF9sN3NYcGM1S2VvZ0pFYldpaEFwM0l2UjdtU2VNeTF6SF9YRkRVZHZkaXVKZ01WMVQ0YW9WMHVzNlRIcTZJTDBQd3ExY3o1WF9VSnJ3QUFn?oc=5
2026-03-19,Google News,USAF F-35 Makes Emergency Landing After Allegedly Being Hit by Iranian Fire - The War Zone,USAF F-35 Makes Emergency Landing After Allegedly Being Hit by Iranian Fire  The War Zone,https://news.google.com/rss/articles/CBMioAFBVV95cUxQSlRORkUwbzByVVhJVzdOci1aanoycWVrZDRqWW02NGtDTEZQWENXd01Ndi1pd3NQcVdoc3dXY0gwSlVMZ29EaUdFaS05TENlUFR5NmVIaE55WVVmSHQwbzdvZElRSkEwbzh4NmpXNVFPcy1PYnczZG9rUTNra01CX21SSGNESlVLZUxsQVR6SGxfSDBTS3R0WGI4UzI2Rldf?oc=5
2025-12-04,AP,BRYAN D. CANNON > Air Force > Biography Display - af.mil,BRYAN D. CANNON > Air Force > Biography Display  af.mil,https://news.google.com/rss/articles/CBMihgFBVV95cUxORU9sUGpreGk3ajVJVkFISUxlRmw0blBxWDZXWHN2V1A1M3NfWk1EYm42UWRDUmk0NW5oQUZ0bm90c2txd0VqeTEwM2FwUG13UTZ6a1FCTlp3YzVPekJ2VWNBSEI2Vy1HbTQ2OEVsV0Y0YjVfZWJkNEIyUlJPQ1d2dEFkendGQQ?oc=5
2025-12-31,Google News,Canada Needs To End the F-35 Debate Now - 19FortyFive,Canada Needs To End the F-35 Debate Now  19FortyFive,https://news.google.com/rss/articles/CBMiggFBVV95cUxOeUIxRVVCRE9YZE1fUlhaZERGejYwUzNEd0YzNnhZXzVNV1EzRWJORXlSVXdtX1lvMTBxZmtSX2RxYkJWUjVpNVZBTzBnRUlHQWNCWS1CSEZsbk5OM0lLalRtZ0Y2Q1ZhNHJFV3RWeXB0dDRyVGF0WTJpS193bklNNjJ3?oc=5
2026-01-10,Google News,Italy Breaks US Monopoly With First Overseas F-35 Pilot Training Hub in the World - Aviation A2Z,Italy Breaks US Monopoly With First Overseas F-35 Pilot Training Hub in the World  Aviation A2Z,https://news.google.com/rss/articles/CBMitAFBVV95cUxOTGR6ZTQ3UGdqRHZ0M0F0SFNEUFFvZzRpTnlNZkdUUmhSZ1ljZzlEblR2RnFyQk5vLVlXU2YwY2ZBbHp3Rm1vbVJKbXE2blQ1YTZ0UXlrb3hseW5pUnNKbmRBa290Z3pyQlFKTDNia1Z2b3pmOU9XUGpiUGNsQmtRVVl2NzEtTFY3aUllTW9PT05EMHNVV242dmFsMUs4TEJDTEk5a2hON1JBUlJfSVpWazFBWkw?oc=5
2025-12-24,Google News,F-35 Hits New Low: 8th Pentagon Audit Failure Tied To Stealth Jet’s 238-Day Delays & Unaccounted Spares - EurAsian Times,F-35 Hits New Low: 8th Pentagon Audit Failure Tied To Stealth Jet’s 238-Day Delays & Unaccounted Spares  EurAsian Times,https://news.google.com/rss/articles/CBMiygFBVV95cUxQWTRLTlFjTFd2ZDJWbHRpSGVKQTFlbjVFNXVVNWMyWEEtZXNXZkJMek9nZlk1ZWYxbENHdFZ4SjNISWFyQ0xxbHkza3oxQmtzLXJpSFZKNXhWOHkwTkFtNTNzcGp3UkVRNlkxWWh5bWJrSUwwS1pyS0NpSUo0aXR3RGhSa2VtRXZKMmhNZWxyalRnd2NJS0lUc3FPUnF5a2pFbmlWRnpWakRaTlVVRXFvMG51NkVxWlY0ZUowLWdCa3ROOFR3aFBZRDR30gHKAUFVX3lxTFBZNEtOUWNMV3ZkMlZsdGlIZUpBMWVuNUU1dVU1YzJYQS1lc1dmQkx6T2dmWTVlZjFsQ0d0VnhKM0hJYXJDTHFseTNrejFCa3MtcmlIVko1eFY4eTBOQW01M3NwandSRVE2WTFZaHltYmtJTDBLWnJLQ2lJSjRpdHdEaFJrZW1FdkoyaE1lbHJqVGd3Y0lLSVRzcU9ScXlrakVuaVZGelZqRFpOVVVFcW8wbnU2RXFaVjRlSjAtZ0JrdE44VHdoUFlENHc?oc=5
2026-03-18,Google News,Kongsberg secures NOK 2 billion contract from Lockheed Martin to supply components for F-35 fighter jets - Defence Industry Europe,Kongsberg secures NOK 2 billion contract from Lockheed Martin to supply components for F-35 fighter jets  Defence Industry Europe,https://news.google.com/rss/articles/CBMizgFBVV95cUxPUlF2S1VYaE1PanVRT3EzTVlNRWdYSHpNN1hRUE1TZHlxWEdTcXc5ZmRKTEJUbkV1bnhtQnVwdDN4M0J1VTBlWnYwUFhjd3FuRG1Dem1BN1VSeHhJWlAtWWx0bWwtZWJSdjI5RUZpbE5UWGRIZWk0U0tzWUx3NElxQUltRUdNbFhOeE9tMDV6UzZOc2VwS21KTWl2VWZzV2p0NHJNQ1oxMUQzd2NZVy0wdG1qMjNacmxrWDNHaHNKUFVwU044UmJDQW1jdWEzdw?oc=5
2026-04-25,Google News,"Sorry, F-35 and JAS 39 Gripen: The Eurofighter Typhoon Has A Message for Canada - 19FortyFive","Sorry, F-35 and JAS 39 Gripen: The Eurofighter Typhoon Has A Message for Canada  19FortyFive",https://news.google.com/rss/articles/CBMitAFBVV95cUxQYThYeGRhMkhlRXU1cW9PZjEzXzcxTWh6eTF0MGw5dVZpeHNVUHhmYlhzdEZZbk5PaGlQX0dGYTlSVGVPcEZteUZ0ZVdvQ2xxNFB1Y21ZNGlYSVFFd3YzRGUwbEoxVzlCY2FNYlNNTFFkdktHS1V4cG0yMHliVDR4bnNPWGlCOVpZa3JEMVhaZ191ZFQ5eGk3RVlHR1ZOMlRGNUVPZHlzY0Z2ajFGbDJ5U1Raekk?oc=5
2025-12-18,Google News,Canadian NORAD Commander’s View On Future F-35 Fighter Force - The War Zone,Canadian NORAD Commander’s View On Future F-35 Fighter Force  The War Zone,https://news.google.com/rss/articles/CBMiiwFBVV95cUxNZ1BqX1ZQM2FFcmNUWDVUZ2V5MnpycmJhdFlSdFkxU3NpZVNoVWVlUlpLSE1QWEptdjlxR1RxYXFaWHRTYkIySDRPY1haMFFKTFFRVUhJa1Ftd0NYdnF4RmxkeWozSndHWjYyYU9qWFNVTDNUQ0paQjBSMjl3cm1zekNTVmZNZi11QlpJ?oc=5
